"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"66","3527000001","RSU Sampang","RSU","C","Jl. Rajawali No.10 Sampang"
"67","3528000001","RSU Pamekasan","RSU","C","Jl. Kesehatan No.3-5 Pamekasan"
"68","3528000002","RSU Sumenep","RSU","C","Jl. Dr Cipto No.42 Sumenep"
"69","3528000003","RS Mardi Waluyo","RS","","Jl. Raya Kalianget Kab Sumenep"
"70","3571000001","RSU Gambiran","RSU","B","Jl. KH Wahid Hasyim 64 Kediri"
"71","3571000002","RS Rem 081 Kediri","RS","4","Jl. Mayjen Sungkono 44 Kediri"
"72","3571000003","RS Bhayangkara Kediri","RS","3","Jl. Kombes Pol Daryat 17 Kediri"
"73","3571000004","RS Baptis Kediri","RS","B","Jl. Mauni 1-7 Kediri"
"74","3571000005","RS Kusta Kediri","RS","","Jl. Veteran No.48 Kediri"
"75","3571000006","RSB Nirmala Kediri","RSB","B","Jl. Jagung Suprapto No.5 Kediri"
"76","3572000001","RSU Mardi Waluyo","RSU","C","Jl. Dr Sutomo No.29 Blitar"
"77","3572000002","RS Budi Rahayu","RS","D","Jl. Jend A Yani 18 Blitar"
"78","3572000003","RS Syuhada Haji","RS","","Jl. Mojo No.12 Blitar Jatim"
"79","3573000001","RSU Dr Saiful Anwar","RSU","A","Jl. Jagung Suprapto No.2 Malang"
"80","3573000002","RS Soepraoen","RS","2","Jl. Sodanco Supriyadi Malang"
"81","3573000003","RS Panti Nirmala","RS","","Jl. Kebalen Wetan 8 Malang"
"82","3573000004","RS Panti Waluya Sawahan","RS","","Jl. Nusakambangan 56 Malang"
"83","3573000005","RS PTPN XI Lavalete","RS","","Jl. WR Supratman 10 Malang"
"84","3573000006","RSU Marsudi Waluyo","RSU","","Jl. Mondoroko Singosari Malang"
"85","3573000007","RS LPK Malang","RS","","Jl. Asahan No.7 Malang"
"86","3573000008","RS Lanuma Abdul Saleh","RS","4","Lanud ABD Saleh Malang"
"87","3573000009","RS Islam Gondang Legi","RS","","Jl. Hayam Wuruk 66 Malang"
"88","3573000010","RS Islam Aisyiyah Malang","RS","","Jl. Sulawesi No.6 Malang"
"89","3573000011","RS Islam Malang","RS","","Jl. Mayjen Haryono 139 Malang"
"90","3573000012","RS Sumber Sentosa","RS","","Jl. Kebonsari No.47 Malang"
"91","3574000001","RSU Probolinggo","RSU","C","Jl. Panjaitan No.65 Probolinggo"
"92","3574000002","RS Dharma Husada","RS","","Jl. Sukarno Hatta Probolinggo"
"93","3574000003","RSU Pasuruan","RSU","C","Jl. Dr Wahidin Selatan Pasuruan"
"94","3576000001","RSU Dr Wahidin S Husodo","RSU","C","Jl. Gajah Mada 100 Mojokerto"
"95","3576000002","RS Hadiono Singgih","RS","4","Jl. R Wijaya 58 Mojokerto"
"96","3576000003","RS PTP XXI\_XXII Gatoel","RS","","Jl. R Wijaya 56 Mojokerto"
"97","3576000004","RS Reksa Waluya","RS","","Jl. Mojopahit 422 Mojokerto"
"98","3576000005","RS Hasanah","RS","","Jl. HOS Cokroaminoto Mojokerto"
"99","3576000006","RS Islam Sakinah","RS","","Jl. RA Basuni No.12 Mojokerto"
"100","3577000001","RSU Dr Soedono Madiun","RSU","B","Jl. Sumbawa No.6 Madiun"
"101","3577000002","RS Santa Clara","RS","","Jl. Biliton No.15 Madiun"
"102","3577000003","RS Rem 081 Madiun","RS","4","Jl. Pahlawan No.79 Madiun"
"103","3577000004","RS Lanuma Iswahyudi","RS","3","Lanud Iswahyudi Magetan"
"104","3577000005","RS Islam Siti Aisyah","RS","","Jl. Mayjen Sungkono 38 Madiun"
